# fb2_session_log
# sections: events | dashboard_snapshots | dash_tiles
# note: main Dash only (hero + tiles + any + extras). Fuel/Trans/etc. not included.

# events
time_ms,category,message
1786800773547,1603.0,52.0,88.0,,,,44.705882352941174,,24.0,13.37,83.0,-3.125,,11.8,4,CLOSED LOOP
1786800774646,1583.0,,88.0,,,,44.705882352941174,,24.0,12.78,83.0,-7.03125,,11.8,,CLOSED LOOP
1786800775772,1600.0,,88.0,,,,44.705882352941174,,24.0,12.61,86.0,-6.25,,11.8,,CLOSED LOOP
1786800776776,1650.0,,88.0,,,,44.705882352941174,,24.0,12.61,89.0,-6.25,,11.8,,CLOSED LOOP
1786800777883,1677.0,58.0,88.0,,,,44.705882352941174,,24.0,14.22,89.0,-5.46875,,11.8,4,CLOSED LOOP
1786800779365,1622.0,58.0,88.0,,,,44.705882352941174,,24.0,13.62,89.0,-5.46875,,11.8,4,CLOSED LOOP
1786800780402,1655.0,60.0,88.0,,,,44.705882352941174,,24.0,13.62,83.0,-5.46875,,11.8,4,CLOSED LOOP
1786800781522,1456.0,60.0,88.0,,,,44.705882352941174,,24.0,13.62,83.0,0.78125,,11.8,4,CLOSED LOOP
1786800782635,1442.0,60.0,88.0,,,,44.705882352941174,,24.0,13.96,82.0,-4.6875,,11.8,4,CLOSED LOOP
1786800783748,1261.0,60.0,88.0,,,,44.705882352941174,,24.0,3.23,28.0,0.0,,11.8,5,OPEN (DRIVE)
1786800784870,1227.0,,88.0,,,,44.705882352941174,,24.0,3.35,28.0,0.0,,11.8,,OPEN (DRIVE)
1786800786044,1201.0,59.0,88.0,,,,44.705882352941174,,24.0,3.39,25.0,0.0,,12.0,5,OPEN (DRIVE)
1786800788106,1473.0,58.0,88.0,,,,44.705882352941174,,24.0,6.93,68.0,0.0,,12.4,4,CLOSED LOOP
1786800789463,1349.0,59.0,88.0,,,,44.705882352941174,,24.0,11.37,74.0,-4.6875,,12.4,5,CLOSED LOOP
1786800790485,1747.0,59.0,88.0,,,,44.705882352941174,,24.0,17.42,79.0,-2.34375,,12.1,4,CLOSED LOOP
1786800791566,1915.0,59.0,88.0,,,,44.705882352941174,,24.0,21.57,88.0,-2.34375,,11.9,3,CLOSED LOOP
1786800792600,1991.0,,88.0,,,,44.705882352941174,,24.0,22.35,88.0,-3.90625,,11.8,,CLOSED LOOP
1786800794582,2005.0,66.0,88.0,,,,44.705882352941174,,24.0,5.9,36.0,0.0,,11.8,4,CLOSED LOOP
1786800796431,1249.0,66.0,87.0,,,,44.705882352941174,,24.0,3.32,25.0,0.0,,11.9,5,OPEN (DRIVE)
1786800797622,1176.0,58.0,87.0,,,,44.705882352941174,,24.0,3.71,26.0,0.0,,12.0,5,OPEN (DRIVE)
1786800799530,1008.0,58.0,87.0,,,,44.705882352941174,,24.0,3.71,38.0,0.0,,12.5,5,CLOSED LOOP
1786800800558,1055.0,,87.0,,,,44.705882352941174,,24.0,4.43,33.0,0.0,,12.5,,CLOSED LOOP
1786800801829,1213.0,48.0,87.0,,,,44.705882352941174,,24.0,3.97,29.0,-0.78125,,12.4,4,CLOSED LOOP
1786800802852,1075.0,43.0,87.0,,,,44.705882352941174,,24.0,4.16,29.0,-2.34375,,12.2,4,CLOSED LOOP
1786800804046,990.0,38.0,87.0,,,,44.705882352941174,,24.0,3.23,27.0,-5.46875,,12.0,4,CLOSED LOOP
1786800805313,932.0,38.0,87.0,,,,44.705882352941174,,24.0,3.11,28.0,-7.03125,,11.8,4,CLOSED LOOP
1786800806420,1023.0,38.0,87.0,,,,44.705882352941174,,24.0,3.14,27.0,-5.46875,,11.8,4,CLOSED LOOP
1786800807614,1034.0,27.0,87.0,,,,44.705882352941174,,24.0,3.14,27.0,-5.46875,,11.8,3,CLOSED LOOP
1786800808731,965.0,27.0,87.0,,,,44.705882352941174,,24.0,3.17,28.0,-5.46875,,11.8,3,CLOSED LOOP
1786800810691,797.0,17.0,87.0,,,,44.705882352941174,,24.0,3.08,33.0,-5.46875,,11.8,3,CLOSED LOOP
1786800812363,769.0,16.0,87.0,,,,44.705882352941174,,24.0,3.08,35.0,-5.46875,,11.8,2,CLOSED LOOP
1786800814191,946.0,15.0,87.0,,,,44.705882352941174,,24.0,3.08,54.0,-5.46875,,11.8,2,CLOSED LOOP
1786800815524,1617.0,17.0,87.0,,,,44.705882352941174,,24.0,3.08,72.0,-5.46875,,11.8,1,CLOSED LOOP
1786800817272,1550.0,24.0,87.0,,,,44.705882352941174,,24.0,13.79,73.0,-5.46875,,11.8,2,CLOSED LOOP
1786800818872,1790.0,30.0,87.0,,,,44.705882352941174,,24.0,15.64,74.0,-5.46875,,11.8,2,CLOSED LOOP
1786800820374,1632.0,34.0,87.0,,,,44.705882352941174,,24.0,15.26,78.0,-5.46875,,11.8,2,CLOSED LOOP
1786800821564,1576.0,36.0,87.0,,,,44.705882352941174,,24.0,14.48,77.0,-3.90625,,11.8,3,CLOSED LOOP
1786800822595,1660.0,36.0,87.0,,,,44.705882352941174,,24.0,15.16,76.0,-3.90625,,11.8,3,CLOSED LOOP
1786800823671,1734.0,36.0,87.0,,,,44.705882352941174,,24.0,15.64,74.0,-4.6875,,11.8,2,CLOSED LOOP
1786800824861,1808.0,45.0,88.0,,,,44.705882352941174,,24.0,15.94,73.0,-4.6875,,11.8,3,CLOSED LOOP
1786800826101,1910.0,45.0,88.0,,,,44.705882352941174,,24.0,16.63,72.0,-4.6875,,11.8,3,CLOSED LOOP
1786800827226,1591.0,50.0,88.0,,,,44.705882352941174,,24.0,14.48,78.0,-4.6875,,11.8,4,CLOSED LOOP
1786800828266,1547.0,50.0,88.0,,,,44.705882352941174,,24.0,14.68,78.0,-5.46875,,11.8,4,CLOSED LOOP
1786800829437,1584.0,54.0,88.0,,,,44.705882352941174,,24.0,14.58,78.0,-5.46875,,11.8,4,CLOSED LOOP
1786800830480,1624.0,56.0,88.0,,,,44.705882352941174,,24.0,15.26,77.0,-5.46875,,11.8,4,CLOSED LOOP
1786800832012,1699.0,56.0,90.0,,,,44.705882352941174,,24.0,15.16,77.0,-5.46875,,11.8,4,CLOSED LOOP
1786800833372,1744.0,61.0,90.0,,,,44.705882352941174,,24.0,15.74,,-5.46875,,11.8,4,CLOSED LOOP
1786800834812,1792.0,63.0,90.0,,,,44.705882352941174,,24.0,17.62,,-5.46875,,11.8,4,CLOSED LOOP
1786800836155,1883.0,65.0,90.0,,,,44.705882352941174,,24.0,17.12,,-5.46875,,11.7,4,CLOSED LOOP
1786800837780,1493.0,66.0,90.0,,,,44.705882352941174,,24.0,14.05,,-5.46875,,11.8,5,CLOSED LOOP
1786800839575,1459.0,67.0,90.0,,,,44.705882352941174,,24.0,14.13,82.0,-5.46875,,11.7,5,CLOSED LOOP
1786800841384,1470.0,68.0,90.0,,,,44.705882352941174,,24.0,13.96,80.0,-5.46875,,11.7,5,CLOSED LOOP
